246;78,04
256;78,04
256;82,04
254;85,04
253;85,04
252;84,04
251;85,04
251;86,04
251;90,04
250;93,04
248;90,04
248;88,04
247;86,04
247;85,04
252;79,04
262;81,04
263;85,04
263;90,04
260;93,04
257;95,04
256;95,04
254;93,04
252;93,04
249;93,04
248;92,04
246;90,04
246;86,04
249;84,04
250;83,04
251;82,04
254;81,04
260;80,04
258;79,04
256;79,04
254;79,04
250;79,04
251;79,04
254;78,04
257;78,04
260;79,04
254;78,04
254;77,04
249;76,04
249;78,04
247;83,04
245;86,04
244;90,04
244;90,04
244;86,04
245;85,04
248;84,04
248;89,04
247;93,04
247;98,04
251;101,04
254;102,04
257;102,04
262;100,04
264;99,04
264;97,04
267;95,04
267;93,04
267;91,04
267;88,04
267;87,04
265;83,04
264;83,04
261;81,04
255;79,04
255;79,04
258;79,04
260;80,04
262;80,04
267;81,04
270;83,04
271;90,04
270;95,04
266;98,04
267;92,04
269;85,04
270;84,04
270;82,04
269;81,04
268;80,04
268;80,04
266;79,04
264;77,04
264;77,04
259;76,04
259;76,04
247;97,04
247;98,04
247;102,04
247;102,04
246;102,04
246;99,04
246;100,04
245;100,04
244;98,04
245;96,04
244;97,04
383;102,04
383;102,04
380;102,04
378;99,04
377;97,04
377;93,04
378;93,04
380;92,04
382;89,04
386;88,04
376;95,04
376;91,04
377;90,04
379;88,04
382;87,04
384;85,04
377;95,04
377;93,04
377;92,04
377;88,04
377;87,04
380;86,04
382;84,04
383;83,04
389;81,04
390;81,04
395;85,04
396;88,04
395;99,04
386;102,04
386;103,04
393;101,04
394;101,04
398;101,04
398;101,04
398;101,04
401;97,04
397;108,04
393;108,04
382;107,04
390;109,04
391;109,04
398;110,04
399;109,04
403;103,04
403;100,04
404;90,04
404;90,04
402;87,04
395;84,04
393;85,04
386;85,04
382;89,04
383;102,04
390;104,04
395;96,04
389;97,04
389;100,04
391;100,04
385;101,04
386;101,04
394;97,04
395;95,04
398;94,04
391;97,04
388;97,04
389;97,04
396;94,04
396;93,04
392;95,04
392;96,04
394;96,04
396;98,04
382;104,04
382;111,04
381;109,04
379;107,04
377;106,04
376;103,04
376;98,04
376;96,04
376;92,04
381;91,04
384;88,04
387;87,04
203;183,04
210;194,04
217;202,04
218;205,04
230;216,04
232;216,04
249;226,04
259;231,04
264;233,04
281;236,04
283;237,04
305;244,04
310;246,04
329;246,04
339;242,04
358;241,04
365;240,04
372;238,04
384;233,04
392;228,04
405;223,04
411;220,04
415;218,04
424;212,04
430;210,04
433;207,04
435;203,04
438;199,04
441;198,04
208;191,04
210;195,04
218;204,04
221;206,04
224;210,04
237;222,04
240;221,04
245;227,04
254;230,04
255;231,04
271;234,04
284;240,04
291;240,04
292;241,04
309;247,04
326;249,04
333;249,04
345;249,04
355;249,04
358;249,04
363;247,04
365;246,04
348;248,04
335;250,04
317;250,04
305;249,04
289;244,04
361;244,04
371;243,04
384;242,04
390;238,04
394;235,04
413;229,04
415;228,04
397;235,04
369;242,04
350;243,04
325;241,04
298;244,04
299;245,04
319;245,04
319;245,04
326;247,04
361;251,04
384;249,04
415;227,04
404;232,04
396;235,04
375;240,04
366;241,04
341;242,04
294;245,04
283;248,04
266;241,04
256;235,04
266;238,04
279;243,04
288;250,04
291;250,04
294;250,04
295;251,04
283;249,04
275;243,04
274;241,04
264;239,04
261;238,04
375;241,04
380;241,04
397;240,04
401;235,04
407;230,04
413;229,04
429;221,04
425;222,04
424;224,04
429;222,04
437;218,04
440;214,04
443;213,04
446;207,04
447;205,04
449;204,04
451;203,04
452;198,04
452;198,04
453;198,04
454;193,04
454;193,04
448;200,04
428;213,04
422;217,04
396;227,04
380;237,04
365;247,04
374;247,04
378;247,04
381;247,04
393;246,04
394;244,04
252;236,04
245;231,04
